id	filename	md5	size	state
98d93e91-2ad8-4346-a2c1-801703222daa	TCGA-AA-3850-01Z-00-DX1.49b55930-74fd-4103-9151-7b906a18be02.svs	edc000931e0dfec891de0d1ff2705b31	258576732	released
f7d4a000-4473-4d7b-9980-c495428eaa50	TCGA-A6-2681-01Z-00-DX1.5e11f090-a19d-4d5c-bcf6-c219b55d02bc.svs	db16253e279da4c33307ec581dc9647f	163704887	released
b2cdcbeb-a7ab-4950-a41b-4747902feb56	TCGA-AA-3821-01Z-00-DX1.019b3b1d-5c05-4be6-af25-6ee63475897e.svs	2ee18bfe9470c8cadefed2e44785d0e8	328261828	released
e72187ad-1c39-4191-9379-e6d8392a6af9	TCGA-CM-6164-01Z-00-DX1.ccf5ce96-b732-4c35-b177-d3dbe2ed89cb.svs	12148cab50cd64e97c8ba63a719bf93d	607355251	released
645ac325-9832-46ab-9832-9652bf6add98	TCGA-CM-6674-01Z-00-DX1.4a08b16a-788e-43dc-85d2-baff6e911de2.svs	64b00c4b881d6c419da6ddf80b24bdd2	1104971675	released
219576f3-3c71-44f8-a23d-addde6ef33dc	TCGA-AA-A03J-01Z-00-DX1.4E57E86E-ADEE-4837-9F91-E9CA141F7ACC.svs	db61fd927424a68521bcfac3423da062	1837160324	released
2678c27a-d474-4960-bb99-b4135a8e0353	TCGA-CM-5862-01Z-00-DX1.df57752c-5937-40f2-a48f-37a147a82139.svs	78b22f0a44b5779b4d0867ba26af6edf	648648245	released
6e24d6c9-c684-4bb6-8297-f49a6afd73d7	TCGA-G4-6626-01Z-00-DX1.20e7691e-9ef5-4278-a7d4-3967e36f24d5.svs	3f3986c3461d307baaa6ed3727346fa2	545658843	released
11489c71-5516-4ca3-8256-4c91ac223e20	TCGA-D5-6926-01Z-00-DX1.3830423a-3587-432b-9a6c-84f838e49fe6.svs	d996b3eba51fd363f296a715afac4923	239278833	released
3db6186a-d812-4d9d-a7e8-a7f0c0aa140a	TCGA-SS-A7HO-01Z-00-DX1.D20B9109-F984-40DE-A4F1-2DFC61002862.svs	1afa8847f484afa25c3a1fbdbbc89b54	2333626110	released
0e5316aa-c726-46e3-881b-c2bf918c1231	TCGA-DM-A285-01Z-00-DX1.219e2829-8ffd-4b51-adce-cfd48293191b.svs	83303298a57a7e5f385b72f9d68e4a76	1513819103	released
588d5512-9711-4285-83b4-14bb1c3b6514	TCGA-AZ-6601-01Z-00-DX1.40681471-3104-48be-8b57-55dba1f432f8.svs	7db7346c371654bca7736f494fb56461	775233117	released
2078ca83-55e7-4f53-83d6-82e1682cb493	TCGA-G4-6307-01Z-00-DX1.fff548a0-8bc8-428e-a4ce-3a5d0b3f060b.svs	824a749ebde80308e80c5c77d84b4f3b	722061487	released
a8903dd1-b3ec-4b10-89f3-142fab914157	TCGA-NH-A5IV-01Z-00-DX1.1A6F9F12-C00E-47F2-9400-541BA230EFBE.svs	66b04c9fd051644e030620ff438914cc	1564882941	released
8780a5fa-9824-457f-9f2c-5b2d00f7063d	TCGA-F4-6807-01Z-00-DX1.84bfb631-af3d-45e7-a7db-730844a53625.svs	cfdfc0af520d8c0d5e7a42bd7426a932	729259219	released
c78c413d-d6e8-434f-811c-069ce6162bf1	TCGA-CA-6716-01Z-00-DX1.fd53102c-7f2b-47f1-b4d1-5693e81a0478.svs	7cdd6dec650cc2642715c628dfb3b182	685217797	released
8884689f-5d9b-4424-8ef8-850c58c0c747	TCGA-AZ-4315-01Z-00-DX1.1a2c2771-3e59-47c3-b380-42110c545e6b.svs	bccb49d75e2c9b24b91820308b596004	928770793	released
5fb8d491-f1b7-4284-b982-a965b12edcd3	TCGA-AD-A5EJ-01Z-00-DX1.FA56CEAF-8B70-45EF-A2C9-8AA7BEB3D88A.svs	5ba8fb9f633a52ad3dcb2482b75b07c3	149648896	released
ed5f8c30-29e3-4144-948b-b8658564f2d6	TCGA-3L-AA1B-01Z-00-DX1.8923A151-A690-40B7-9E5A-FCBEDFC2394F.svs	1f0cdb5cacd17c3dbf99f82ac41339dd	1228418533	released
023ca8d1-d8ef-492e-b542-e5e16e1ded09	TCGA-A6-6653-01Z-00-DX1.e130666d-2681-4382-9e7a-4a4d27cb77a4.svs	d48cdf4cb936b05a93501b8659a7788e	244711457	released
4d52a92f-7495-41ec-8606-5fff12413940	TCGA-AD-6889-01Z-00-DX1.5269A81E-5391-4875-8F2A-6505BC5BBFD9.svs	7dae30338c238f33d71b7318df81e04c	420566141	released
c278e965-d5e0-49bf-87f5-a9257b2b702c	TCGA-D5-6920-01Z-00-DX1.e184673f-e7e9-44aa-9dae-7054bd1d0d00.svs	cd233652dae58ea1f737b9f2052661fc	123085051	released
5794786f-1632-4ec6-8a92-2430c9564260	TCGA-CK-4952-01Z-00-DX1.0e98c7b4-5f80-485d-a191-ad93564b5f96.svs	b08f705d3b8cc62e037e71ffed196ad9	488415319	released
871c2b48-1461-40b9-a517-7a67474b22fa	TCGA-G4-6299-01Z-00-DX1.22701e3b-7bfb-45ad-9382-842b2da0387a.svs	c0bf39fa47ce712eea8bfddbede9dab6	895608509	released
33a4ddef-d89c-4a9d-822d-33d3cf9527e4	TCGA-AA-3845-01Z-00-DX1.20682536-a009-4184-a40b-cb889f37ad32.svs	76a21f14bd3570a0035ed1e92b1387a8	223572372	released
d5b766d5-9f09-46a2-84c4-2eec944efc7f	TCGA-CM-6171-01Z-00-DX1.74d4391e-3dbc-4ad4-b188-3b11ac65e6d8.svs	2935f6e2e504c5a5361c96264ac715b2	905712995	released
808c0782-1739-4c70-a26f-8fe8c4ae8f64	TCGA-CA-6715-01Z-00-DX1.d5db8085-f91a-4eee-b15f-61960af713af.svs	1be848428371eb539483412adce1b6a4	824600629	released
bb860990-f9de-41cb-8e51-4a28f26aad61	TCGA-AA-3947-01Z-00-DX1.77005e19-8a8e-4b82-89e9-c81af9b41193.svs	1c96a6307c03875117059903157dfae8	701254788	released
3e1fc385-7eef-4d96-9735-a5c039286ee4	TCGA-A6-5660-01Z-00-DX1.b254e383-a889-4b73-8f91-8580c8285754.svs	a11b2bac8d718565b19400fe6c4b69cd	202973171	released
31565365-1404-46ff-b4f6-a5c5294c9ba6	TCGA-A6-5661-01Z-00-DX1.bad2d858-11b4-4b9c-a720-daaae592cf48.svs	f53e6c9afcad8e8d3dee383e8bff8c79	168764181	released
aaab8c27-dbc8-4221-9b14-97834e3b756f	TCGA-AA-3684-01Z-00-DX1.c6be6ea4-fa92-4499-b458-85c3a8b1e3b6.svs	526c5bb13594b929d7c4391c537af9e0	975409112	released
128f36a1-0433-4533-87c3-743f13a586fe	TCGA-AA-A01T-01Z-00-DX1.0C795296-87D6-4B90-9363-CF5CD7A2924D.svs	97f13d83dfde8b102db62cc44bd9e8ca	1034121582	released
3e405d04-ccc8-4757-9a70-d30f449e2548	TCGA-QG-A5Z2-01Z-00-DX2.F2352352-8F00-4BB3-8A62-8D1C1E374F95.svs	4f9f2e23c9286a9dee507651eb89abb1	1610012065	released
f4e7f126-b2e2-4e0e-b7cc-4bf4df4656f9	TCGA-QG-A5Z2-01Z-00-DX1.51896C31-235E-48EF-90F7-FC05350CA564.svs	27f4279a3d7aa930faa37ed471fc8301	1295303325	released
0c59c32a-ce9a-4557-be21-90d72ddc34b4	TCGA-AU-3779-01Z-00-DX1.4134005A-8A79-46DC-8737-B3C8AAC2DFCA.svs	7ceabfc298c637ca5182027dd5255d01	216962640	released
49df964d-62da-429f-8700-3a5955ea4ef3	TCGA-CM-6166-01Z-00-DX1.52eaa124-7ab5-4aaf-b074-7f89a4c53804.svs	5a503da3fdd9cd6fd80444f9ed1ee561	661268139	released
08ef38c6-068b-420d-b629-d7778492c0a9	TCGA-AA-3664-01Z-00-DX1.bd07e7ef-0acb-43d8-a4f6-15b3442d2ed5.svs	259c7b6aac8235fe1d1f2245f7863d59	458131871	released
adfeb295-e16d-4d70-a2d4-77537f553ade	TCGA-AA-3666-01Z-00-DX1.fe976853-fbde-46e8-b915-3c98440c9315.svs	700e6d8717ec5b5c09790f387975a24b	443279054	released
f6c772bc-2678-4808-9821-0cd9405b868b	TCGA-AZ-4308-01Z-00-DX1.804e054d-e206-4b34-a992-86317ef515d9.svs	964ff1de9d35eef0de1bc1facf1b5162	543862337	released
e592fc48-a4b8-4e73-9307-4fc462e6eda5	TCGA-NH-A8F8-01Z-00-DX1.0C13D583-0BCE-44F7-A4E6-5994FE97B99C.svs	19e6ba56dfde003fd873284083c7a985	1535400125	released
